survey_id,species_name,scientific_name,family,iucn_status,count
1502,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1502,Sepah Kecil,Pericrocotus cinnamomeus,NA,Least concern,1
1502,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1502,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1502,Walet Linci,Collocalia linchi,NA,Least concern,1
1502,Walik Kembang,Ptilinopus melanospilus,NA,Least concern,1
1062,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1062,Cucak Kutilang,Pycnonotus aurigaster,NA,Least concern,1
1062,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1062,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1062,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1062,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1166,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1166,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1166,Paok Pancawarna,Hydrornis guajanus,NA,Least concern,1
1274,Cabai Bunga Api,Dicaeum trigonostigma,NA,Least concern,1
1274,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1274,Sepah Hutan,Pericrocotus flammeus,NA,Least concern,1
1274,Takur Tenggeret,Psilopogon australis,NA,Least concern,1
1389,Bubut Besar,Centropus sinensis,NA,Least concern,1
1389,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1389,Jingjing Batu,Hemipus hirundinaceus,NA,Least concern,1
1389,Merbah Corok Corok,Pycnonotus simplex,NA,Least concern,1
1389,Takur Tulung Tumpuk,Psilopogon javensis,NA,Least concern,1
1503,Cekakak Batu,Lacedo pulchella,NA,Least concern,1
1503,Cipoh Kacat,Aegithina tiphia,NA,Least concern,1
1503,Kancilan Bakau,Pachycephala cinerea,NA,Least concern,1
1503,Pelatuk Besi,Dinopium javanense,NA,Least concern,1
1503,Sempur Hujan Rimba,Eurylaimus javanicus,NA,Least concern,1
